,ngay,giadieuchinh,giadongcua,giathaydoi,KL,GT,giamocua,giacaonhat,giathapnhat,symbol
0,26/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.20 ,HLR
1,25/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.2 ,HLR
2,22/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.20 ,HLR
3,21/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.2 ,HLR
4,20/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.20 ,HLR
5,19/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.2 ,HLR
6,18/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.20 ,HLR
7,14/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.2 ,HLR
8,13/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.20 ,HLR
9,12/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.2 ,HLR
10,08/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.20 ,HLR
11,07/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.2 ,HLR
12,06/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.20 ,HLR
13,05/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.2 ,HLR
14,04/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.20 ,HLR
15,01/04/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.2 ,HLR
16,31/03/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.20 ,HLR
17,30/03/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,"1,000 ",0 ,6.20 ,6.2 ,HLR
18,29/03/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.20 ,HLR
19,28/03/2022,6.20 ,6.20 ,0.00 (0.00 %),6.20 ,0 ,0 ,6.20 ,6.2 ,HLR
